num_exp,problem,algo,fit
[1],Sphere,PSO,3.0903183533760267e-19
[1],Sphere,BB,3.530574761043874e-18
[1],Sphere,FIPS,2.3853438738784696e-83
[1],Sphere,DE,1.3064882404151063e-13
[1],Sphere,JAYA,1.1116889241650619e-07
[1],Sphere,ABC,6.663590971331037e-21
[1],Sphere,CS,0.00504063494974702
[1],Sphere,FF,2.8427490735186796e-26
[1],Sphere,GWO,0.0
[1],Sphere,SCA,1.0940100964402231e-47
[1],Sphere,TLBO,3.8503794730241593e-184
[1],Sphere,WO,8.078060805339159e-55
[1],Ackley,PSO,5.472422934889327
[1],Ackley,BB,1.457392828640991e-08
[1],Ackley,FIPS,4.440892098500626e-16
[1],Ackley,DE,1.7065653783454593e-06
[1],Ackley,JAYA,0.0032684154584043945
[1],Ackley,ABC,1.1931757359917583e-08
[1],Ackley,CS,3.7710062221276535
[1],Ackley,FF,1.212363542890671e-13
[1],Ackley,GWO,4.440892098500626e-16
[1],Ackley,SCA,3.9968028886505635e-15
[1],Ackley,TLBO,3.9968028886505635e-15
[1],Ackley,WO,7.549516567451064e-15
[1],Griewank,PSO,0.0833262607657852
[1],Griewank,BB,1.1324274851176597e-14
[1],Griewank,FIPS,0.0
[1],Griewank,DE,1.6484580367404078e-10
[1],Griewank,JAYA,0.00174990050999424
[1],Griewank,ABC,0.0
[1],Griewank,CS,0.9887035193679075
[1],Griewank,FF,582.3856661564383
[1],Griewank,GWO,0.0
[1],Griewank,SCA,0.0
[1],Griewank,TLBO,0.0
[1],Griewank,WO,0.0
[1],Rastrigin,PSO,63.677253572179325
[1],Rastrigin,BB,125.50633437967758
[1],Rastrigin,FIPS,0.0
[1],Rastrigin,DE,143.74718227291788
[1],Rastrigin,JAYA,211.340192748105
[1],Rastrigin,ABC,5.684341886080802e-14
[1],Rastrigin,CS,103.35979154248392
[1],Rastrigin,FF,0.0
[1],Rastrigin,GWO,0.0
[1],Rastrigin,SCA,0.0
[1],Rastrigin,TLBO,8.954959428521136
[1],Rastrigin,WO,97.65285221674225
[1],Schwefel,PSO,3121.9405811026645
[1],Schwefel,BB,3431.662740441212
[1],Schwefel,FIPS,8631.571319963074
[1],Schwefel,DE,6069.940439628367
[1],Schwefel,JAYA,7661.556820351913
[1],Schwefel,ABC,1817.7777994756962
[1],Schwefel,CS,3965.637455463626
[1],Schwefel,FF,10460.80981380249
[1],Schwefel,GWO,8292.10112361523
[1],Schwefel,SCA,7157.162187361496
[1],Schwefel,TLBO,4207.749042299629
[1],Schwefel,WO,4074.066948939915
[1],Rosenbrock,PSO,22.78536946714553
[1],Rosenbrock,BB,24.972828118784314
[1],Rosenbrock,FIPS,28.83402681067568
[1],Rosenbrock,DE,24.797085351211496
[1],Rosenbrock,JAYA,11.564255830159873
[1],Rosenbrock,ABC,26.879295449127152
[1],Rosenbrock,CS,64.83593815698146
[1],Rosenbrock,FF,28.916025136283118
[1],Rosenbrock,GWO,28.797483861120504
[1],Rosenbrock,SCA,26.87801448102978
[1],Rosenbrock,TLBO,23.23826743068012
[1],Rosenbrock,WO,20.904116699171073
[1],Michalewicz,PSO,-22.11488368201316
[1],Michalewicz,BB,-21.129952637385728
[1],Michalewicz,FIPS,-11.835708379569668
[1],Michalewicz,DE,-14.81862851365487
[1],Michalewicz,JAYA,-10.686803061513839
[1],Michalewicz,ABC,-15.37233231401414
[1],Michalewicz,CS,-18.012301507343622
[1],Michalewicz,FF,-6.008730657712498
[1],Michalewicz,GWO,-11.152473320688046
[1],Michalewicz,SCA,-10.679063300951881
[1],Michalewicz,TLBO,-25.516594178115554
[1],Michalewicz,WO,-19.86643214440435
[2],Sphere,PSO,2.936884279068941e-17
[2],Sphere,BB,3.2431051161257603e-17
[2],Sphere,FIPS,6.3191181143974585e-83
[2],Sphere,DE,1.127023912589753e-13
[2],Sphere,JAYA,1.8281313066474087e-07
[2],Sphere,ABC,8.230308539039589e-21
[2],Sphere,CS,0.0035071839906401993
[2],Sphere,FF,1.9158893573092338e-26
[2],Sphere,GWO,0.0
[2],Sphere,SCA,6.598438892298985e-46
[2],Sphere,TLBO,1.1484779609827898e-183
[2],Sphere,WO,2.9270539539255224e-60
[2],Ackley,PSO,8.246172189529943e-09
[2],Ackley,BB,2.7507170319296392e-08
[2],Ackley,FIPS,4.440892098500626e-16
[2],Ackley,DE,1.0188714552050726e-06
[2],Ackley,JAYA,0.003761443458710989
[2],Ackley,ABC,3.236970247399995e-09
[2],Ackley,CS,3.968802362666875
[2],Ackley,FF,1.212363542890671e-13
[2],Ackley,GWO,4.440892098500626e-16
[2],Ackley,SCA,3.9968028886505635e-15
