num_exp,problem,algo,fit
[1],F1,PSO,26964728042.63388
[1],F1,BB,2210850426.455987
[1],F1,FIPS,31453838340.145588
[1],F1,DE,639.6997190512129
[1],F1,JAYA,8564022187.647177
[1],F1,ABC,3278941594.6032944
[1],F1,CS,450040873.6414533
[1],F1,FF,150241506170.0174
[1],F1,GWO,84763792288.47127
[1],F1,SCA,3050107744.7732253
[1],F1,TLBO,5173.095710093282
[1],F1,WO,161.88174529215902
[2],F1,PSO,26738609330.086235
[2],F1,BB,2257134913.719199
[2],F1,FIPS,8058726089.918043
[2],F1,DE,87597164581.14436
[2],F1,JAYA,7324407776.504298
[2],F1,ABC,3400196550.251918
[2],F1,CS,461277649.9049098
[2],F1,FF,207325047371.81772
[2],F1,GWO,83786838897.33302
[2],F1,SCA,2764438532.366154
[2],F1,TLBO,274.1419796297422
[2],F1,WO,139913.02218224184
[3],F1,PSO,36516044079.31068
[3],F1,BB,20941.767100916153
[3],F1,FIPS,44828333111.75306
[3],F1,DE,2210896.589348739
[3],F1,JAYA,9197533718.985218
[3],F1,ABC,3898584328.626869
[3],F1,CS,4285629343.300021
[3],F1,FF,133594528955.57196
[3],F1,GWO,75887681756.85129
[3],F1,SCA,7379239865.526677
[3],F1,TLBO,3876.9097324775175
[3],F1,WO,391.6530846252827
[4],F1,PSO,106820376957.47423
[4],F1,BB,9181651806.26223
[4],F1,FIPS,77055441441.37212
[4],F1,DE,12110419.055864204
[4],F1,JAYA,8017492660.537436
[4],F1,ABC,4412988610.791679
[4],F1,CS,1960354276.2359507
[4],F1,FF,96455288684.2664
[4],F1,GWO,84782960794.21489
[4],F1,SCA,2652241579.7214646
[4],F1,TLBO,5363.512007243801
[4],F1,WO,20955.60698597615
[5],F1,PSO,95773409001.91335
[5],F1,BB,1375903834.769822
[5],F1,FIPS,34654188407.643745
[5],F1,DE,646.450182215065
[5],F1,JAYA,8405193286.625266
[5],F1,ABC,4130657729.3264813
[5],F1,CS,2610133187.891503
[5],F1,FF,138169814415.65106
[5],F1,GWO,84700917483.06598
[5],F1,SCA,102998299.29333037
[5],F1,TLBO,1001.327986648203
[5],F1,WO,299143.9620313166
[6],F1,PSO,29828654401.966812
[6],F1,BB,7059469565.512451
[6],F1,FIPS,23430500226.4222
[6],F1,DE,2263098180.5334044
[6],F1,JAYA,9007188248.06684
[6],F1,ABC,4294005678.660852
[6],F1,CS,18427700.012301594
[6],F1,FF,80733475460.28899
[6],F1,GWO,84711597359.73627
[6],F1,SCA,3585661193.1967654
[6],F1,TLBO,18277.984291501656
[6],F1,WO,7026.745141808802
[7],F1,PSO,40101382490.74022
[7],F1,BB,2766430001.97501
[7],F1,FIPS,65260327572.25824
